3.270675661042332649e-03,-7.306095957756042480e-02
-4.263436049222946167e-02,-9.587389416992664337e-03
1.003432050347328186e-01,-1.602810807526111603e-02
-8.378552645444869995e-02,-7.675556000322103500e-03
-8.249180391430854797e-03,-2.720530703663825989e-02
-7.522244472056627274e-03,-6.944731622934341431e-02
2.213173732161521912e-02,2.030742540955543518e-02
7.843671366572380066e-03,-6.635682284832000732e-02
-5.106836184859275818e-02,-1.253987476229667664e-02
8.662516251206398010e-03,7.420114427804946899e-02
8.756563812494277954e-02,-2.434159629046916962e-03
7.869049161672592163e-02,-4.738480318337678909e-03
-2.018787711858749390e-01,-1.795517466962337494e-02
1.168824657797813416e-01,3.760709986090660095e-02
1.305419504642486572e-01,5.483724549412727356e-02
6.811568886041641235e-02,-2.982045756652951241e-03
2.828647382557392120e-02,9.394620358943939209e-02
5.403308942914009094e-02,4.955793544650077820e-02
1.928641274571418762e-02,3.776109591126441956e-02
-2.092629292747005820e-04,-7.244601100683212280e-02
3.766179084777832031e-02,6.694729626178741455e-02
8.156368136405944824e-02,-6.337864324450492859e-03
5.428506806492805481e-02,-9.437713772058486938e-02
1.106628961861133575e-02,2.180990204215049744e-02
6.774886511266231537e-03,-2.063920907676219940e-02
-5.980804562568664551e-03,4.671290516853332520e-02
-7.230840623378753662e-02,-1.449326518923044205e-02
4.985038656741380692e-03,1.567402854561805725e-02
-3.618034720420837402e-02,-1.414276775903999805e-03
5.192945245653390884e-03,-4.849295318126678467e-02
-1.203054264187812805e-01,5.892740562558174133e-02
3.894139954354614019e-04,1.232682317495346069e-01
